ENSMUST00000193812.1	chr1	+	3073252	3074322	4933401J01Rik
ENSMUST00000082908.1	chr1	+	3102015	3102125	Gm26206
ENSMUST00000070533.4	chr1	-	3214481	3671498	Xkr4
ENSMUST00000195335.1	chr1	-	3365730	3368549	Gm37180
ENSMUST00000192336.1	chr1	-	3375555	3377788	Gm37363
ENSMUST00000194099.1	chr1	-	3464976	3467285	Gm37686
ENSMUST00000161581.1	chr1	+	3466586	3513553	Gm1992
ENSMUST00000192973.1	chr1	-	3512450	3514507	Gm37329
ENSMUST00000195166.1	chr1	-	3592891	3595903	Gm38148
ENSMUST00000192692.1	chr1	-	3647308	3658904	Gm19938
ENSMUST00000193244.1	chr1	+	3680154	3681788	Gm10568
ENSMUST00000194454.1	chr1	+	3752009	3754360	Gm38385
ENSMUST00000157708.2	chr1	-	3783875	3783933	Gm27396
ENSMUST00000194643.1	chr1	-	3905738	3986215	Gm37381
ENSMUST00000192427.1	chr1	-	3984224	3985984	Gm37381
ENSMUST00000208660.1	chr1	-	3999556	4409241	Rp1
ENSMUST00000027032.5	chr1	-	4344145	4360314	Rp1
ENSMUST00000194382.1	chr1	-	4363345	4364829	Gm37483
ENSMUST00000027035.9	chr1	-	4490930	4496413	Sox17
ENSMUST00000195555.1	chr1	-	4491249	4496757	Sox17
ENSMUST00000192650.5	chr1	-	4491389	4497354	Sox17
ENSMUST00000116652.7	chr1	-	4491712	4496363	Sox17
ENSMUST00000194935.1	chr1	+	4497473	4499558	Gm37587
ENSMUST00000180019.1	chr1	+	4529016	4529123	Gm22307
ENSMUST00000195771.1	chr1	-	4583128	4586252	Gm37323
ENSMUST00000157375.1	chr1	-	4723276	4723379	Gm25493
ENSMUST00000130201.7	chr1	-	4773205	4785710	Mrpl15
ENSMUST00000156816.6	chr1	-	4773210	4785739	Mrpl15
ENSMUST00000195445.1	chr1	-	4778062	4779212	Gm37144
ENSMUST00000146665.2	chr1	-	4781220	4785739	Mrpl15
ENSMUST00000027036.10	chr1	+	4807822	4846739	Lypla1
ENSMUST00000150971.7	chr1	+	4807829	4841286	Lypla1
ENSMUST00000155020.1	chr1	+	4807891	4886770	Gm37988
ENSMUST00000119612.8	chr1	+	4807895	4845174	Lypla1
ENSMUST00000115529.7	chr1	+	4807910	4845352	Lypla1
ENSMUST00000081551.13	chr1	+	4857813	4897905	Tcea1
ENSMUST00000165720.2	chr1	+	4858037	4897909	Tcea1
ENSMUST00000194052.1	chr1	-	4905750	4906861	Gm37277
ENSMUST00000002533.14	chr1	-	4909575	5019539	Rgs20
ENSMUST00000118000.7	chr1	-	4909575	5070285	Rgs20
ENSMUST00000119256.7	chr1	-	4910401	5018735	Rgs20
ENSMUST00000194114.1	chr1	-	4938575	4940710	Gm37079
ENSMUST00000144339.1	chr1	+	4970856	4976820	Gm16041
ENSMUST00000192847.5	chr1	+	5070017	5162340	Atp6v1h
ENSMUST00000044369.12	chr1	+	5083079	5162529	Atp6v1h
ENSMUST00000192698.2	chr1	+	5083153	5162419	Atp6v1h
ENSMUST00000193241.1	chr1	+	5307738	5310017	Gm37567
ENSMUST00000194850.1	chr1	+	5403546	5405578	Gm38264
ENSMUST00000160777.7	chr1	+	5588492	5606131	Oprk1
ENSMUST00000239100.1	chr1	+	5588492	5606131	Oprk1
ENSMUST00000027038.10	chr1	+	5588556	5602866	Oprk1
ENSMUST00000160339.1	chr1	+	5588940	5604014	Oprk1
ENSMUST00000175274.1	chr1	-	5644644	5644745	Gm22463
ENSMUST00000193807.1	chr1	-	5842873	5844672	Gm37429
ENSMUST00000044180.4	chr1	-	5913706	5917398	Npbwr1
ENSMUST00000191825.1	chr1	-	6209865	6215293	4732440D04Rik
ENSMUST00000159618.1	chr1	-	6213292	6214590	4732440D04Rik
ENSMUST00000027040.12	chr1	+	6214644	6276648	Rb1cc1
ENSMUST00000133144.3	chr1	+	6359217	6394731	Alkal1
ENSMUST00000140079.7	chr1	+	6487230	6860934	St18
ENSMUST00000131494.7	chr1	+	6487330	6860940	St18
ENSMUST00000043578.12	chr1	+	6730050	6860940	St18
ENSMUST00000150761.7	chr1	+	6730100	6859470	St18
ENSMUST00000151281.7	chr1	+	6730101	6858813	St18
ENSMUST00000163727.3	chr1	+	6737574	6860940	St18
ENSMUST00000195780.2	chr1	-	6861236	6864151	Gm42492
ENSMUST00000061280.16	chr1	+	7088919	7173628	Pcmtd1
ENSMUST00000194854.1	chr1	+	7148109	7152137	Gm38372
ENSMUST00000104056.1	chr1	+	7265802	7265932	Gm23274
ENSMUST00000181554.1	chr1	-	7349405	7397801	Gm26901
ENSMUST00000193106.5	chr1	-	7375885	7397795	Gm26901
ENSMUST00000193732.1	chr1	-	7375887	7397869	Gm26901
ENSMUST00000194886.1	chr1	+	7497967	7518149	Gm30414
ENSMUST00000132064.7	chr1	-	8361474	9298573	Sntg1
ENSMUST00000191683.5	chr1	-	8361474	9298864	Sntg1
ENSMUST00000140295.7	chr1	-	8361474	9299238	Sntg1
ENSMUST00000115488.2	chr1	-	8363474	8803943	Sntg1
ENSMUST00000192338.1	chr1	-	8450959	8453491	Gm38024
ENSMUST00000194602.1	chr1	-	8527779	8531313	Gm38259
ENSMUST00000103887.2	chr1	-	8588614	8588724	Gm23358
ENSMUST00000193281.1	chr1	-	8643695	8644859	Gm37005
ENSMUST00000102181.1	chr1	+	8816137	8816247	Gm24276
ENSMUST00000193635.1	chr1	-	9191066	9192116	Gm37629
ENSMUST00000195180.1	chr1	+	9286921	9290180	Gm37143
ENSMUST00000083691.1	chr1	+	9458669	9458772	Gm24765
ENSMUST00000072079.8	chr1	+	9545407	9547455	Rrs1
ENSMUST00000144177.7	chr1	+	9547947	9577970	Adhfe1
ENSMUST00000115480.7	chr1	-	9560831	9631092	2610203C22Rik
ENSMUST00000148585.7	chr1	-	9600412	9631144	2610203C22Rik
ENSMUST00000088666.3	chr1	+	9601198	9627143	Vxn
ENSMUST00000191209.1	chr1	-	9639254	9640582	Gm29520
ENSMUST00000088658.10	chr1	-	9667414	9700209	Mybl1
ENSMUST00000115468.8	chr1	-	9669536	9700024	Mybl1
ENSMUST00000057438.6	chr1	-	9718621	9748382	Vcpip1
ENSMUST00000181358.7	chr1	+	9747955	9791318	1700034P13Rik
ENSMUST00000189431.1	chr1	+	9748586	9771095	1700034P13Rik
ENSMUST00000207445.1	chr1	+	9748588	9791924	1700034P13Rik
ENSMUST00000166384.7	chr1	+	9798106	9900843	Sgk3
ENSMUST00000168907.7	chr1	+	9798142	9900845	Sgk3
ENSMUST00000158291.1	chr1	-	9834497	9834602	Gm22607
ENSMUST00000171265.7	chr1	+	9848271	9900843	Sgk3
ENSMUST00000097826.5	chr1	+	9848396	9899853	Sgk3
ENSMUST00000052843.11	chr1	+	9908637	9922525	Mcmdc2
ENSMUST00000171802.7	chr1	+	9908637	9940954	Mcmdc2
